[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958492, 77.7291572, False ]
[ 12.9958492, 77.7291572, False ]
[ 12.9958488, 77.7291573, False ]
[ 12.9958488, 77.7291573, False ]
[ 12.9958486, 77.7291573, False ]
[ 12.9958486, 77.7291573, False ]
[ 12.9958486, 77.7291573, False ]
[ 12.9958486, 77.7291573, False ]
[ 12.9958485, 77.7291574, False ]
[ 12.9958485, 77.7291574, False ]
[ 12.9958485, 77.7291574, False ]
[ 12.9958485, 77.7291574, False ]
[ 12.9958484, 77.7291574, False ]
[ 12.9958484, 77.7291574, False ]
[ 12.9958484, 77.7291574, False ]
[ 12.9958484, 77.7291574, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.99585, 77.7291582, False ]
[ 12.99585, 77.7291582, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.995806, 77.7292022, False ]
[ 12.995806, 77.7292022, False ]
[ 12.995806, 77.7292022, False ]
[ 12.995806, 77.7292022, False ]
[ 12.995806, 77.7292022, False ]
[ 12.995806, 77.7292022, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9957363, 77.7294947, False ]
[ 12.9957363, 77.7294947, False ]
[ 12.9957363, 77.7294947, False ]
[ 12.9957363, 77.7294947, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9960252, 77.7292542, False ]
[ 12.9960252, 77.7292542, False ]
[ 12.9960252, 77.7292542, False ]
[ 12.9960252, 77.7292542, False ]
[ 12.9958417, 77.7294363, False ]
[ 12.9958417, 77.7294363, False ]
[ 12.9958417, 77.7294363, False ]
[ 12.9958417, 77.7294363, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958477, 77.7291576, False ]
[ 12.9958477, 77.7291576, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958645, 77.7291717, False ]
